,names,dates,latitude,longitude,categorical,quant1,quant2,quant3
9862,b'Aniello',1480428497.72,48.0136387576,-104.63633323799999,Category06,1.98914768428,6.3455423317,3762.22591245
6927,b'Keitha',1469152633.47,69.0411421056,-45.64678376729999,Category07,1.4422842916499998,27.3352174396,4652.46904254
1981,b'Quintasia',1471255446.8,39.0019791923,4.91878873532,Category06,0.665535008265,-21.630150288899998,9365.42248623
6345,b'Saaid',1482055407.59,21.7712844365,45.482887401999996,Category02,3.4595456884900004,-21.8301293361,8831.69549143
6548,b'Anikait',1461209695.42,71.8770497087,123.055299485,Category09,1.15712348213,29.479290208800002,1229.93767482
1733,b'Oluwatoyin',1458000686.5,1.3273249471200002,-17.639274940099998,Category08,2.1110885387000002,-20.4330583436,1178.95432393
7216,b'Saniqua',1475665051.83,69.48742861859999,33.916873484,Category03,2.85371817319,-8.846017391819998,9581.91525825
4351,b'Kensly',1468425718.59,26.0325942186,162.86549102799998,Category08,2.08049020486,-15.7404530025,3007.59760311
5036,b'Maggen',1476436010.83,9.238735474810001,8.94165098273,Category07,0.533569975145,-14.143268844100001,5075.41368841
4090,b'Jkia',1475380234.15,22.445305149099998,104.551355482,Category01,3.0346676357599995,-29.4269666552,1636.84471052
8165,b'Nehal',1454246927.34,48.7765569615,29.482898179099998,Category02,0.830215158653,21.1905780625,7438.86961038
9146,b'Kashema',1473113330.2,45.0621268076,-105.82615969700001,Category09,2.6982229473,-20.0505024978,6427.9417541
9471,b'Tadeh',1464951211.02,-47.561866134300004,-64.4269699846,Category06,3.0324676056299995,23.107594966300002,9947.88432777
3064,b'Sachet',1464421994.1,-83.0508397057,-132.916610698,Category09,1.3517707006600002,-25.184244145,8188.27853085
3598,b'Mahammad',1471175503.64,-82.1933733875,106.631494838,Category08,1.29304133722,25.330716439899998,9140.3976988
5086,b'Himari',1472525253.87,-44.5076511226,-10.5640687159,Category05,1.4034648139399999,16.0292656121,4503.1723133000005
8694,b'Billison',1452574979.86,31.6244269912,-159.87356315600002,Category03,0.781288812499,-18.3271252086,8159.37929082
9461,b'Quintella',1471852958.62,-37.2721183899,52.451619631599996,Category04,3.28114312161,-28.275703198800002,8873.22753441
6450,b'Makaio',1460469865.23,36.3658004046,-118.04964169600001,Category06,2.28794666099,4.11887115227,6005.07740979
2108,b'Lira',1453007365.46,-61.9827513979,-39.2065747929,Category04,2.13729518029,6.77038393425,53.2011914233
5869,b'Sidi',1469237809.68,-84.3118870184,63.94098582270001,Category06,1.75738418155,-26.8679928128,4403.35416489
9855,b'Leeila',1453679433.6,9.21290529069,-64.6399684176,Category02,0.322221555067,2.6691704620900003,9026.2110736
1504,b'Marisa',1463079267.77,2.32764306885,25.2859388656,Category02,0.591147647362,10.0118539326,2354.23591742
2253,b'Tobiah',1479494964.55,-56.6473421128,95.3674097743,Category04,2.49646166379,-6.976537709239999,190.782825216
799,b'Zilpha',1460427042.98,-83.1361109189,158.934263294,Category02,3.4932398963199995,-10.1365524212,8059.40424433
2326,b'Okpara',1476063627.8,88.5708378289,-39.710610477399996,Category02,0.94851095751,29.288911213800002,7739.48230745
148,b'Anudeep',1451653815.6,-16.2417243089,-76.5517414144,Category09,0.787881367334,11.359877847,4333.8811219
1714,b'Wladimir',1477330931.18,-57.7169598925,35.1503050791,Category09,0.36246654040299997,12.2609272165,7803.941695
3178,b'Airlene',1456654768.7,13.955937291400001,-66.7282929589,Category07,2.47853406122,-18.34681778,2760.84649338
498,b'Dinean',1455419951.9,1.4953315316100002,-82.7333861793,Category00,0.7989293208380001,-26.0779087911,3390.7604695
7379,b'Camber',1455645725.21,-20.462060961,130.729580766,Category01,2.94529078473,21.214378411600002,9402.05228744
442,b'Rattana',1469750073.4,-5.71259841555,-19.3648317533,Category04,2.7781469281200004,25.4811566379,5445.58368292
1668,b'Mikiya',1472804857.92,37.942198818899996,-145.311227135,Category01,2.5787279807799997,-15.176814563199999,5024.98314223
3975,b'Modesto',1475617461.06,-55.9198062419,-163.80933365,Category04,2.31391893348,-3.2905178693799995,3233.08495832
997,b'Sparks',1465657876.37,43.5004086496,-169.96244903299998,Category03,1.13358069171,9.83769952064,5914.03263909
6012,b'Jasmone',1482804373.86,-17.6336069488,151.718968273,Category04,0.930693210618,24.124721081700002,9269.09143452
1508,b'Mikylla',1456225307.16,-80.291614309,-92.7064950519,Category04,0.491776598784,-15.379767084700001,6815.59087944
4835,b'Aayansh',1480146868.3,-28.9756613786,78.6399163928,Category09,0.044764734980600004,-29.8086885704,115.926092876
1074,b'Levella',1470599461.19,24.0352747867,32.3483705606,Category00,1.6531752982899999,-9.90593941337,7330.53945745
1788,b'Ellyot',1463183103.44,13.036673446300002,-144.038143371,Category00,1.6741810807100002,27.2251648844,1872.18634125
6725,b'Yaritzy',1459659809.55,29.1339213019,152.695941097,Category06,1.80321815707,11.9232611363,2974.34751848
2588,b'Shakevia',1479081228.78,5.123217099200001,-25.7243529855,Category02,1.5660288184600002,16.3788604197,8136.00859769
646,b'Solidad',1477123890.68,-14.8966778523,10.5433995802,Category01,2.10031783994,-6.44483928033,8665.65482988
6988,b'Melani',1467151372.73,-8.448832154489999,-39.2304822154,Category06,1.38695544276,0.613725364973,728.4952181860001
4725,b'Ordis',1465172245.41,-39.0090372791,-108.867920481,Category01,1.1499846217899998,23.8112663865,6572.22938162
5799,b'Shardia',1473075190.09,24.9798914768,-61.7465905471,Category05,0.689439927943,20.837132516300002,968.4072079089999
4182,b'Krishma',1453418526.95,-27.886635028,-156.90425160200002,Category00,3.4143089382099996,11.2865761494,4201.73211637
9900,b'Aneria',1452062364.23,-48.9761857297,-108.36458419799999,Category05,1.10666722052,-3.83677808302,6866.84196456
4196,b'Derek',1465410690.97,-19.7690289403,-109.98390046899999,Category03,3.01019202675,-14.2936458156,2663.48565044
6442,b'Alward',1482463495.61,-85.7913926863,-174.410541945,Category02,3.4698059696300008,-15.086675169500001,7357.60466286
7844,b'Aizleigh',1478357535.94,44.545338129899996,-121.000046653,Category05,3.2368283499799997,-9.10822322104,4965.74297524
3022,b'Evelyne',1480214461.85,70.8075330242,-33.8231475822,Category02,2.63633054794,-5.1362471964,3563.03930125
3661,b'Noel',1478328794.2,-80.1508973375,42.3058976528,Category03,2.15307884443,3.61406564582,4453.87974141
2867,b'Aviona',1451942275.45,10.6676323087,114.471796129,Category02,3.31266522815,-16.749293153,9245.28583029
2449,b'Mccauley',1465854893.4,-53.3775629111,-41.451305818499996,Category04,1.8062198053099998,4.28511492216,2525.42387219
9644,b'Lucertia',1457787640.69,-6.554557375780001,-148.02524303299998,Category02,2.1946743048400004,10.7214369096,3223.85910165
3552,b'Jeretta',1474540496.9,35.5216172171,16.9224639124,Category09,2.99267253899,-0.9392448383249999,8701.14776725
6501,b'Trion',1475714300.14,29.3029614657,90.3586162565,Category05,0.270796902027,16.7165598821,7548.36746796
2594,b'Jugraj',1453384904.75,-22.9311891203,166.579390896,Category03,2.8352256042699997,-8.60322800081,4189.80859731
5970,b'Raayan',1454904154.13,-84.32711614680001,-54.7051177165,Category02,0.533232023945,20.1200004872,1288.73388617
2944,b'Dazlynn',1455294119.17,29.8092026454,-140.720932593,Category01,1.8846930531400001,-7.087197285989999,2097.04144476
5944,b'Anastazia',1481940821.85,19.0534730444,90.3763747905,Category07,1.03422483515,21.921432141999997,8526.49207699
9979,b'Levata',1468996332.72,-46.1274965644,-117.959590191,Category02,0.126877374556,18.176074600899998,7190.9406876
6458,b'Anjenette',1457681007.12,65.0896950162,141.101361786,Category07,3.13844695669,-9.78013568791,3060.53485786
4038,b'Varshini',1482730528.72,47.622053325900005,150.081523683,Category08,2.39254616373,-1.8146193411700002,5225.6899205
6568,b'Iyahna',1474927122.92,-86.6868478611,-62.7132062855,Category09,0.876444018385,-5.669735167610001,1682.12304518
25,b'Dashani',1462194657.56,49.7047640281,-109.13556502700001,Category07,0.232638911547,4.99600593685,9492.39661366
2518,b'Reus',1467920868.18,-32.0321791191,179.42925647299998,Category01,0.632623193752,4.9708172605400005,1413.23168622
1473,b'Dajahnay',1469582428.46,20.5180741528,44.418085372200004,Category03,2.43872211491,7.9176499830800005,5217.1159375
796,b'Ailee',1471356068.53,-40.6443340013,-77.4310396617,Category09,1.84551332191,-23.322537364299997,3991.30313074
9307,b'Symara',1468492118.95,51.5160990141,-45.3058928404,Category04,0.0723571526761,12.290248648199999,6430.85001677
2227,b'Rashetta',1478671324.39,19.0205652588,104.371922273,Category02,1.61442517885,-8.69310135924,664.105989676
4683,b'Lakeishia',1453127092.94,21.818446134000002,-133.764786024,Category03,3.08874394833,-9.067679783280001,4549.40688469
5861,b'Sheray',1471882879.19,-60.489000429099995,-147.018670335,Category06,0.38858889929799995,-8.03454087006,3196.22532756
9810,b'Anassa',1473826703.98,33.2470314038,172.56409812,Category08,1.8918526429900002,22.097822757600003,9083.158854700001
7042,b'Ld',1480454172.76,-32.5816173186,119.380574647,Category06,0.961389446595,22.5308985408,5400.80545735
3965,b'Sstephanie',1479001837.73,-34.5196063742,-28.821654286199998,Category03,1.47299761822,-16.60504021,121.35554326399999
2776,b'Kuntakinte',1454583925.14,-83.9455722574,109.28126498600001,Category02,3.2505612206,-6.446078945219999,670.83750973
7921,b'Deontae',1461628378.17,59.69344018939999,-66.3211063748,Category07,3.4679265270699995,16.807380406700002,5232.61221717
9661,b'Tyjaun',1476544896.77,-26.7902257766,-29.3201499784,Category03,2.18438741091,-7.420862195580001,4687.0004598000005
4579,b'Treytin',1480297601.98,-39.324126206100004,-146.415585254,Category01,0.609532479861,-2.9300668703400006,2552.74338788
7923,b'Aryani',1459735067.29,87.394310851,-25.1791840475,Category06,1.20319869974,24.2285276756,6445.16384236
9546,b'Mulani',1464753722.96,55.5912387802,47.4702857362,Category04,0.408257775549,-22.4475208171,8261.19609972
9888,b'Lency',1457736200.9,-4.65939189049,-75.2091949924,Category01,2.6750097976099996,21.970356575300002,682.549608152
5695,b'Tene',1479150586.33,-1.69590903595,-160.004060518,Category07,1.70233304497,-24.7665113108,9767.88576277
9077,b'Jerykah',1464428970.12,51.1059687296,-103.98466061200001,Category04,2.02382186637,-16.1175049855,9297.65819293
8492,b'Tapatha',1468390669.54,83.2278097053,43.6275152678,Category07,0.680573472816,-11.367027202400001,9546.29264348
6952,b'Jasmane',1452086561.92,52.207819368500004,71.9071155653,Category03,0.300254970835,-12.521230197000001,2210.43005202
4528,b'Azeen',1468131291.81,23.004955061500002,14.269850529100001,Category09,3.41453272986,-29.208389917399998,4465.68998654
1348,b'Deletha',1462393073.95,-33.2064473947,-86.4476915808,Category00,3.05112904968,15.3151664166,8521.74631376
3619,b'Taiyo',1482795569.96,3.38106400193,148.43209854100002,Category02,1.83798332865,-22.4121553698,5645.93197617
7996,b'Zanita',1476781580.19,-43.474611933599995,27.5303623878,Category02,0.60023759503,17.8017908869,369.795096648
562,b'Jorgedavid',1482242623.78,-24.3465569859,-82.5014085306,Category06,3.21898582347,1.46911763243,831.473469805
3146,b'Korinne',1475160174.14,55.922945152,41.5002438497,Category01,0.601737045352,24.495369347199997,7779.86105285
6679,b'Semajah',1478688589.86,67.9670880008,-147.590081658,Category01,1.30373572801,1.67817587922,3713.31282445
55,b'Tederick',1479749258.85,-23.411012428600003,144.038639582,Category01,2.69632421543,-25.1148543952,9730.81724319
7215,b'Majid',1472613691.28,60.46595060640001,120.16406306200001,Category01,1.7645699867900002,2.64994104595,3251.56478104
7264,b'Yavonne',1461521517.27,-63.018490002700005,-118.432761336,Category09,1.40583329708,-12.765046702100001,112.906309489
9162,b'Natira',1467475177.38,30.4420115625,85.1993338873,Category00,2.26744951335,-0.185463579883,3754.92573055
9950,b'Hiroaki',1460278496.62,50.6212308989,31.436927948,Category05,0.48494735265699995,-15.1713659035,6592.57508456
9536,b'Dennetta',1459671374.19,49.246676504300005,69.98923214220001,Category09,0.0961563399649,24.544943604,1736.1636077999997
1273,b'Kateline',1472222712.85,47.4692644991,-158.285057688,Category08,1.69925216426,-19.2842621645,7706.62001469
5249,b'Agustus',1477349156.09,-73.8586170848,-41.063126030999996,Category09,2.4232213288,10.106674761,7511.97488477
8827,b'Sitka',1477522554.35,-54.6603956729,-147.096036788,Category01,1.12653724502,-9.877089578560001,1328.89803621
8760,b'Lataysia',1455239408.09,82.5279945489,50.1950687614,Category01,1.29999547537,19.7937699607,9456.50564404
4308,b'Danaysy',1471385030.54,23.777806533499998,-53.3165664934,Category07,0.540255027274,-4.2661506527399995,4473.92235448
1252,b'Susano',1460282542.23,89.92841106899999,-126.714768171,Category01,1.06063707893,-16.8725366126,9789.33480359
2474,b'Arcely',1468493357.19,-55.021817635,104.215368952,Category00,2.98524866463,-23.474596357800003,9755.14934178
7005,b'Brynnen',1454650570.26,13.088117150599999,-142.897725753,Category06,1.91629904937,-18.371624273800002,2302.91868641
2010,b'Roma',1454234600.02,31.645974080100004,-63.6844781719,Category09,2.4442544869,26.017136708699997,5105.68973879
2777,b'Jasiyah',1453860737.72,-40.915332919499996,30.9573276822,Category07,2.56337622865,-15.9944843194,9088.47836363
5584,b'Shatera',1474037529.95,-28.0522047802,-98.94918264959999,Category01,3.24086238354,24.7868244656,3506.12109981
6878,b'Rosonda',1456454740.77,-22.171925046,178.02770348400003,Category08,1.7782994641999998,21.0227908486,4704.52739169
3616,b'Annsley',1480667487.8,10.742110983800002,175.158041007,Category03,1.3831758199000002,18.7455436764,4545.6428131
9040,b'Phelps',1462489069.29,75.9030683788,88.5041668647,Category05,3.39449584551,20.415570536,7950.37247048
3162,b'Atrick',1469818453.04,82.80602911449999,-21.567065048699998,Category05,2.0292860561099997,-1.9186275188599997,7469.69472178
2211,b'Ricks',1478875565.53,73.93155349770001,-171.99725727900002,Category02,1.65405160894,0.712841184858,6563.17158419
631,b'Laketha',1471379327.63,-74.0514316374,91.7185022583,Category03,2.5199144343,13.532788973599999,1835.86218072
8682,b'Lolar',1454579813.01,83.6069075056,-17.716471599200002,Category09,1.4110290499899998,28.873248412600002,2835.83544562
3993,b'Richon',1475357933.31,38.6515829853,171.75410900100002,Category02,0.565852466734,-15.532478351099998,1910.29891901
5852,b'Alquin',1462160446.82,-10.387693976,74.3687771745,Category07,1.6636994147100002,-28.810719653899998,7079.22359882
8120,b'Sakiah',1475952678.21,66.9808328064,155.71086672200002,Category03,0.25717879853799996,9.80928941863,8811.85813904
558,b'Buster',1462952002.22,-50.6415811377,-109.52078140399999,Category08,0.875228227937,-25.319093653200003,7338.04607836
61,b'Erandi',1480184759.68,27.34392376,78.7961679144,Category04,3.1502565990499996,22.0990247108,7240.38707969
5136,b'Jamieann',1479415453.71,25.553756065300004,-67.8146176975,Category04,0.909800445222,14.5277543209,4718.2591463
4201,b'Yula',1453818246.75,13.2925121823,177.18267525099998,Category04,0.29750232802,-28.6081132781,9885.97819072
4555,b'Kikue',1457619681.44,10.074929971900001,56.1399461205,Category01,2.9063841228099996,-18.3242349237,3133.26663243
1671,b'Theres',1478728391.21,-35.9947708309,-33.8826781056,Category08,1.5432064024,-25.4852977213,2774.65503925
1370,b'Dotty',1451797910.94,46.3336372445,-130.710192525,Category02,3.3410877209400005,-11.0184408047,5414.98051434
3754,b'Petra',1472028206.33,-50.2404838434,-125.382230908,Category04,0.814705299747,-11.5750718612,6561.98518692
1320,b'Jaydelynn',1466091100.92,-19.2629696397,-138.73544500100002,Category04,1.7126911964700002,0.668508632121,1704.91429841
1381,b'Esparanza',1472827256.28,-17.1460276232,-136.006651033,Category07,2.88669607583,4.28241256364,9723.05964962
3379,b'Derec',1480150178.86,14.1724994946,-177.848059825,Category01,0.999868949314,-28.756947320300004,223.170758078
4738,b'Brhea',1469232681.35,-34.025428859899996,152.81788693299998,Category01,3.2203626404500003,-20.7780005162,5899.510333
6986,b'Zaybree',1455000214.33,74.5990030813,-178.038662759,Category07,0.258270605993,5.92672439464,4343.253207
9527,b'Mykle',1466188983.79,71.4304482668,-123.248775239,Category06,2.2504979730200003,16.700206925299998,3920.32821812
6701,b'Udochukwu',1466121367.37,-21.3428186497,36.0206568867,Category00,2.10593293595,-10.3507248511,5791.81375721
7129,b'Tressy',1464773031.77,6.176663414530001,-79.7583364925,Category09,1.4979016848700002,4.97238658789,9990.36637328
1758,b'Bassam',1475178964.43,-54.8226597091,31.406774717399998,Category04,0.9240285535089999,0.49225653891800003,7109.224233
3757,b'Klohee',1460401831.38,66.6691134768,75.6095488509,Category03,1.9518320048500002,-29.9786576456,3594.4118627
417,b'Games',1461559255.24,86.52785145790001,-76.4202691079,Category00,0.13375628277,16.6093139352,4483.85545091
556,b'Aedric',1459441735.28,-70.813903712,-174.072993876,Category04,3.43804027186,1.17665121877,9368.25424166
9435,b'Joshuapaul',1463421538.63,54.7565606908,114.831736805,Category00,1.63790650621,5.60744778737,6240.36156696
8019,b'Marcita',1455944872.86,39.600768919000004,-133.55488994200002,Category09,2.13996468749,1.4651950536200002,2498.05508343
1969,b'Yarima',1475293158.56,57.2213331399,-59.3020314734,Category02,0.625003064997,27.275878847199998,9285.68226351
3921,b'Cameren',1458686904.29,30.636007597,-112.97199337,Category03,1.16088613529,23.621793778,9779.76654131
4069,b'Shalayne',1468813667.01,81.6785774207,-2.38615001282,Category00,1.34802001494,-5.57846276732,197.477991342
2625,b'Gotham',1465477425.83,-48.1785996258,135.945875652,Category05,2.1240841545599998,-0.385087178852,9744.19071225
6549,b'Lowana',1462204273.49,-16.4441004537,-135.801659397,Category02,2.9099034089099995,-11.7045408027,4765.80848635
6335,b'Jillinda',1472202844.48,26.349579550100003,27.7136322401,Category00,1.88947604146,4.90984067357,24.9964058704
4162,b'Machel',1458340850.55,-41.9225822997,-147.03315609,Category01,2.31686017117,-24.380676113299998,9082.28721523
1047,b'Deronna',1463688855.52,10.897450426199999,149.76718825700002,Category00,2.0574527945099996,-29.6022580102,5005.08396224
6026,b'Keino',1458305736.7,10.071131878500001,77.4336378584,Category01,2.78494177277,0.133696576077,9788.40984895
6613,b'Gesica',1482381592.4,-21.96945333,-21.1366226858,Category02,1.3408972537200001,26.137229871,2592.94598398
8770,b'Ladazia',1461585829.33,58.057823481899995,-37.0302268854,Category06,2.0765530945900004,15.4953281626,2092.05702051
397,b'Agneda',1462405989.39,17.7822312363,29.944866246100002,Category05,2.62924455619,-16.9836848822,206.000140945
5643,b'Erdman',1453514993.05,51.1034875977,138.959828002,Category07,0.673548856869,-22.1820576665,5046.29721554
9553,b'Tristany',1477144618.42,3.76007541486,-7.9365088592,Category02,2.66500297335,-24.1478414652,4765.64040717
2415,b'Zebadiah',1480453054.13,73.9627634239,-38.7967345479,Category02,1.53003866556,1.82052572468,5395.35532231
4693,b'Tikesha',1465293263.23,81.8014368271,80.4060190621,Category02,0.07719135801560001,-1.77855314324,2828.37516412
1972,b'Guisel',1460844449.27,-23.614611679499998,30.1911538689,Category03,0.377357824731,29.8767812882,3965.79321361
7872,b'Cantrice',1477235170.61,47.9719308967,138.39247864200001,Category03,1.33894208529,-19.1375947382,5324.98876622
382,b'Montanah',1471904654.54,-31.1612622093,-149.52967720799998,Category08,0.589076931215,-19.563999480699998,5326.98317318
5559,b'Aiddan',1457024426.08,-43.3324153803,125.87855536299999,Category07,2.27706770572,26.7684639777,2619.51853204
2379,b'Assitan',1478807378.84,-65.335876478,130.80918754700002,Category05,1.7700601671,20.3105258769,6328.3488275
733,b'Xaver',1480750379.88,-56.747406356300004,-132.676617058,Category03,1.70307850731,-19.5987561374,1336.67146096
3347,b'Vivianne',1476288777.88,-13.723185998800002,-25.7361970439,Category07,0.326570380598,-21.1232174969,833.422178792
7488,b'Jeliyah',1465752229.4,-78.2367972624,49.181999521499996,Category01,1.80022100351,-7.715615994369999,6115.49468018
339,b'Beathrice',1466042038.2,-82.96081660760001,152.55295081,Category06,2.83245884167,-17.2767084703,4418.70553999
